player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,zr
17,2024,1,100,1,0,1,32,29,3,0,153,25,25,0,4,0,0,0,0,1,28,27,0,11,9,3,3,3,3,0,0,0,0,0,0,-0.5300
17,2025,1,100,1,0,1,35,24,11,0,159,25,25,0,3,0,0,0,0,0,24,24,0,14,14,4,4,1,0,0,0,0,0,0,0,-0.1226
17,2026,1,100,1,0,1,31,23,7,0,168,25,25,1,1,0,0,0,0,1,24,24,1,16,16,2,0,3,2,0,0,0,0,0,0,-1.2875
17,2027,1,100,1,0,1,17,13,3,0,159,25,25,1,2,0,0,0,0,0,14,14,1,8,7,0,0,2,2,0,0,0,0,0,0,-1.0857
17,2028,1,100,1,0,1,1,1,0,0,14,2,2,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.0856
18,2021,10,100,1,0,1,20,12,8,0,78,25,8,0,0,0,0,0,0,2,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8581
18,2022,10,100,1,0,1,34,25,8,0,154,24,24,1,1,0,0,0,0,2,23,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2673
18,2023,10,100,1,0,1,5,3,2,0,61,51,0,0,0,0,0,0,0,2,3,3,0,4,3,1,1,0,0,0,0,0,0,0,0,-0.1793
18,2024,10,100,1,0,1,5,5,0,0,36,27,0,0,0,0,0,0,0,1,4,4,0,1,1,1,1,1,1,0,0,0,0,0,0,-0.0880
18,2025,25,100,1,0,1,10,5,3,0,64,46,0,2,0,0,0,0,0,0,6,6,2,5,4,0,0,0,0,1,0,0,0,0,0,-0.9382
18,2026,25,100,1,0,1,9,6,3,0,66,54,0,0,0,0,0,0,0,2,7,7,0,4,4,1,1,0,0,0,0,0,0,0,0,-0.2504
18,2027,25,100,1,0,1,7,7,0,0,65,52,0,0,0,0,0,0,0,2,7,7,0,4,4,0,0,2,2,0,0,0,0,0,0,-0.1108
18,2028,25,100,1,0,1,1,1,0,0,10,2,2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.0907
19,2021,11,100,1,0,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5429
19,2021,18,101,6,0,3,21,0,21,0,18,2,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319
19,2021,18,101,6,0,4,144,91,50,0,264,29,29,3,23,0,0,0,0,0,90,88,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0535
19,2024,16,101,6,0,5,3,2,1,0,8,1,1,0,0,0,0,0,0,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0.0943
20,2021,2,100,1,0,2,606,33,560,410,741,82,82,13,8,0,0,79,19,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,-1.2388
20,2022,2,100,1,0,2,635,33,599,477,796,91,91,3,3,0,4,54,16,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1.4106
20,2023,2,100,1,0,2,694,59,629,451,815,91,90,6,4,0,8,62,25,2,19,19,3,15,15,7,6,9,8,0,0,0,0,0,0,0.9275
20,2023,2,100,1,0,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000
20,2024,2,100,1,0,2,760,50,706,386,826,91,91,4,5,0,3,65,11,1,23,21,1,15,15,8,7,8,7,0,0,0,0,0,0,1.9291
20,2024,2,100,1,0,5,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0306
20,2025,2,100,1,0,2,864,39,818,365,860,96,96,7,4,0,4,50,10,0,18,17,3,16,16,3,3,12,9,0,0,0,0,0,0,0.8913
20,2026,2,100,1,0,2,845,39,794,375,854,96,96,12,7,0,5,51,15,0,17,15,4,10,10,6,6,11,8,0,0,0,0,0,0,1.9641
