game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
101,100,25,2,0,"2028-6-20",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,100,24,11,0,"2028-6-20",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,100,1,9,0,"2028-6-21",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,100,10,3,0,"2028-6-21",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,100,25,2,0,"2028-6-21",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,100,24,11,0,"2028-6-21",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,100,1,9,0,"2028-6-22",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,100,24,1,0,"2028-6-24",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,100,2,3,0,"2028-6-24",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,100,9,10,0,"2028-6-24",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,100,11,25,0,"2028-6-24",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,100,24,1,0,"2028-6-25",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,100,2,3,0,"2028-6-25",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,100,9,10,0,"2028-6-25",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,100,11,25,0,"2028-6-25",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,100,24,1,0,"2028-6-26",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,100,2,3,0,"2028-6-26",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,100,9,10,0,"2028-6-26",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,100,11,25,0,"2028-6-26",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,100,24,1,0,"2028-6-27",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,100,9,10,0,"2028-6-27",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,100,25,24,0,"2028-6-29",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,100,11,2,0,"2028-6-29",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,100,3,9,0,"2028-6-29",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,100,25,24,0,"2028-6-30",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,100,11,2,0,"2028-6-30",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,100,3,9,0,"2028-6-30",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,100,10,1,0,"2028-6-30",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,100,24,25,0,"2028-7-1",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,100,11,2,0,"2028-7-1",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,100,3,9,0,"2028-7-1",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,100,10,1,0,"2028-7-1",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,100,24,25,0,"2028-7-2",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,100,10,1,0,"2028-7-2",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,100,1,3,0,"2028-7-4",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,100,2,24,0,"2028-7-4",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,100,10,25,0,"2028-7-4",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,100,11,9,0,"2028-7-4",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,100,1,3,0,"2028-7-5",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,100,2,24,0,"2028-7-5",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,100,10,25,0,"2028-7-5",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,100,11,9,0,"2028-7-5",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,100,1,3,0,"2028-7-6",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,100,2,24,0,"2028-7-6",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,100,10,25,0,"2028-7-6",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,100,11,9,0,"2028-7-6",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,100,10,25,0,"2028-7-7",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,100,1,11,0,"2028-7-9",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,100,3,25,0,"2028-7-9",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,100,2,9,0,"2028-7-9",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,100,24,10,0,"2028-7-9",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,100,1,11,0,"2028-7-10",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,100,3,25,0,"2028-7-10",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,100,2,9,0,"2028-7-10",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,100,24,10,0,"2028-7-10",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,100,11,1,0,"2028-7-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,100,25,3,0,"2028-7-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,100,2,9,0,"2028-7-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,100,24,10,0,"2028-7-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,100,11,1,0,"2028-7-12",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,100,25,3,0,"2028-7-12",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,100,9,25,0,"2028-7-14",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,100,10,11,0,"2028-7-14",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,100,2,24,0,"2028-7-14",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,100,9,25,0,"2028-7-15",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,100,10,11,0,"2028-7-15",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,100,2,24,0,"2028-7-15",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,100,3,1,0,"2028-7-15",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,100,9,25,0,"2028-7-16",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,100,10,11,0,"2028-7-16",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,100,2,24,0,"2028-7-16",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,100,3,1,0,"2028-7-16",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,100,2,24,0,"2028-7-17",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,100,3,1,0,"2028-7-17",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,100,2,9,0,"2028-7-19",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,100,10,3,0,"2028-7-19",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,100,1,11,0,"2028-7-19",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,100,25,24,0,"2028-7-19",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,100,2,9,0,"2028-7-20",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,100,10,3,0,"2028-7-20",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,100,1,11,0,"2028-7-20",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,100,25,24,0,"2028-7-20",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,100,9,2,0,"2028-7-21",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,100,3,10,0,"2028-7-21",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,100,1,11,0,"2028-7-21",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,100,25,24,0,"2028-7-21",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,100,9,2,0,"2028-7-22",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,100,3,10,0,"2028-7-22",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,100,24,3,0,"2028-7-24",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,100,1,2,0,"2028-7-24",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,100,25,11,0,"2028-7-24",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,100,24,3,0,"2028-7-25",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,100,1,2,0,"2028-7-25",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,100,25,11,0,"2028-7-25",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,100,9,10,0,"2028-7-25",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,100,24,3,0,"2028-7-26",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,100,1,2,0,"2028-7-26",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,100,25,11,0,"2028-7-26",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,100,9,10,0,"2028-7-26",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,100,24,3,0,"2028-7-27",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,100,9,10,0,"2028-7-27",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,100,2,25,0,"2028-8-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,100,9,24,0,"2028-8-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,100,11,3,0,"2028-8-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,100,1,10,0,"2028-8-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,100,2,25,0,"2028-8-12",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,100,9,24,0,"2028-8-12",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,100,11,3,0,"2028-8-12",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,100,1,10,0,"2028-8-12",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,100,25,2,0,"2028-8-13",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,100,24,9,0,"2028-8-13",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,100,11,3,0,"2028-8-13",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,100,10,1,0,"2028-8-13",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,100,25,2,0,"2028-8-14",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,100,24,9,0,"2028-8-14",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,100,10,1,0,"2028-8-14",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,100,2,1,0,"2028-8-16",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,100,3,24,0,"2028-8-16",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,100,11,25,0,"2028-8-16",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,100,2,1,0,"2028-8-17",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,100,3,24,0,"2028-8-17",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,100,11,25,0,"2028-8-17",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
