team_id,year,league_id,sub_league_id,division_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
9,2026,100,0,1,1,1,3395,897,3696,1367,798,888,515,259,384,361,865,825,14150,0,100,100,75,25,33,503,153,4,15,10,132,1,1,2,27,22,98,66,53,44,8,218,2,8,45,18,28,10.8261,0.2351,0.2923,0.4027,0.6950,8.0067,8.9097,1.3244,2.5987,0.0200,4.1716,0.5300,0.7500,5.1500,0.8049,0.1818,0.4495,3.6221,141.5000,0.0000,1.1784,0.5118,3.4286,0.2787
9,2027,100,0,1,1,1,3485,888,3836,1600,937,869,492,301,522,496,795,879,14494,1,100,100,61,39,22,596,172,1,27,16,153,4,0,0,24,22,99,81,40,45,22,250,1,5,51,16,24,12.7655,0.2689,0.3286,0.4591,0.7877,9.4931,8.8041,1.5501,3.0495,0.0100,4.9662,0.4000,0.6100,4.9200,0.5000,0.4889,0.3960,5.0251,144.9400,0.0000,1.3936,0.4749,2.8870,0.3149
10,2017,100,0,1,1,0,3626,896,3913,0,1060,638,317,233,458,425,953,944,14571,2,100,100,48,52,20,812,178,0,23,8,62,8,1,0,31,30,95,110,54,30,9,161,5,6,7,8,16,13.2792,0.2923,0.3382,0.3971,0.7353,10.6394,6.4037,0.6223,2.3387,0.0500,3.9465,0.5400,0.4800,3.1700,0.6897,0.3000,0.5901,4.2658,145.7100,0.0000,1.4420,0.5024,2.7382,0.3384
10,2018,100,0,1,1,0,3516,895,3863,0,975,623,318,288,425,402,994,908,14383,1,100,100,47,53,24,733,132,0,18,13,97,1,1,14,26,40,82,122,57,30,6,121,18,5,10,10,9,13.0979,0.2773,0.3374,0.4050,0.7424,9.8008,6.2625,0.9751,2.8950,0.1800,4.3448,0.5700,0.4700,3.1800,0.8000,0.2000,0.6777,4.0410,143.8300,0.0000,1.4106,0.5226,2.1632,0.3120
10,2019,100,0,1,1,0,3398,894,3665,0,817,693,280,221,354,327,947,916,13591,0,100,100,48,52,27,588,142,0,17,19,68,5,0,11,39,29,90,94,62,33,6,124,10,8,7,7,5,10.7416,0.2404,0.2911,0.3534,0.6446,8.2248,6.9765,0.6846,2.2248,0.1000,3.3315,0.6200,0.4800,2.8000,0.8182,0.1818,0.7258,3.2919,135.9100,0.0000,1.1611,0.5083,3.1357,0.2822
10,2020,100,0,1,1,0,3443,910,3866,0,817,770,327,336,416,379,1047,805,14451,2,100,100,54,46,35,506,174,23,19,20,117,2,2,22,41,43,98,81,64,47,8,155,2,3,13,6,6,11.8199,0.2373,0.3114,0.4014,0.7128,8.0743,7.6098,1.1563,3.3206,0.0200,0.0000,0.6400,0.5400,3.2700,0.8140,0.1702,0.6323,3.7456,143.0792,0.0000,1.2661,0.5653,2.2917,0.2718
10,2021,100,0,1,1,0,3504,901,3894,0,921,651,351,329,461,436,1047,877,14655,1,100,100,49,51,33,618,177,9,27,24,102,0,3,22,41,22,96,82,46,48,12,156,4,2,41,23,13,12.7012,0.2628,0.3277,0.4144,0.7420,9.1964,6.5004,1.0185,3.2851,0.0400,4.4803,0.4600,0.4900,3.5100,0.7333,0.2500,0.6154,4.3536,146.5500,0.0000,1.3868,0.5442,1.9787,0.2948
10,2022,100,0,1,1,0,3481,892,3941,0,951,571,299,381,513,494,1087,876,14558,2,100,100,42,58,24,615,221,10,33,23,92,4,1,30,35,35,93,89,52,36,12,143,7,4,46,16,3,13.7823,0.2732,0.3478,0.4292,0.7770,9.5881,5.7569,0.9276,3.8413,0.0700,4.6685,0.5200,0.4200,2.9900,0.6667,0.3333,0.6503,4.9806,145.5800,0.0000,1.4922,0.5537,1.4987,0.3013
10,2023,100,0,1,1,1,3376,881,3760,1339,844,695,333,316,438,403,995,829,14197,1,100,100,55,45,27,565,159,8,26,24,96,1,1,8,33,33,96,95,49,39,12,233,4,5,32,15,27,12.1827,0.2500,0.3180,0.3966,0.7147,8.6188,7.0972,0.9803,3.2269,0.0400,0.0000,0.4900,0.5500,3.3300,0.6923,0.3077,0.4120,4.1154,139.1863,0.0000,1.3162,0.5455,2.1994,0.2865
10,2024,100,0,1,1,1,3399,903,3748,1224,781,971,486,286,355,343,813,828,14349,2,100,100,70,30,26,524,158,10,19,12,87,1,0,11,37,34,90,75,68,33,7,188,10,8,31,5,19,10.9653,0.2298,0.2945,0.3601,0.6546,7.7783,9.6706,0.8665,2.8484,0.1000,3.6007,0.6800,0.7000,4.8600,0.7879,0.2121,0.4787,3.4161,143.4900,0.0000,1.1807,0.4954,3.3951,0.2941
10,2025,100,0,1,1,1,3338,896,3621,1190,732,868,525,243,310,290,852,860,13614,2,100,100,80,20,28,459,172,0,14,17,84,4,0,7,21,26,93,77,71,30,2,184,7,19,30,13,26,10.0472,0.2193,0.2764,0.3565,0.6329,7.3472,8.7123,0.8431,2.4390,0.0700,3.5584,0.7100,0.8000,5.2500,0.9333,0.0667,0.5054,2.9108,136.1400,0.0000,1.0874,0.4977,3.5720,0.2700
10,2026,100,0,1,1,1,3348,893,3634,1198,749,931,541,242,337,319,832,815,13871,0,100,100,76,24,36,489,158,2,11,15,87,5,2,5,33,29,81,77,72,43,6,148,19,12,29,3,18,10.2800,0.2237,0.2810,0.3578,0.6388,7.5487,9.3830,0.8768,2.4390,0.1900,3.3804,0.7200,0.7600,5.4100,0.8571,0.1395,0.5473,3.2150,138.7100,0.0000,1.1097,0.5052,3.8471,0.2828
10,2027,100,0,1,1,1,3402,904,3715,1320,767,951,528,262,395,370,834,830,14331,0,100,100,79,21,29,470,159,1,20,20,118,4,0,5,32,30,89,72,67,38,9,163,11,8,40,8,18,10.5431,0.2255,0.2851,0.3880,0.6731,7.6361,9.4679,1.1748,2.6084,0.1100,4.1382,0.6700,0.7900,5.2800,0.7632,0.2368,0.5460,3.6836,143.3100,0.0000,1.1383,0.5012,3.6298,0.2758
11,2017,100,0,1,1,0,3621,901,3890,0,1064,553,406,207,453,412,971,1009,14009,1,100,100,49,51,25,811,157,0,22,17,79,7,0,1,39,40,90,118,56,35,9,146,10,7,13,17,4,13.0906,0.2938,0.3370,0.4120,0.7491,10.6243,5.5218,0.7888,2.0669,0.1000,4.3219,0.5600,0.4900,4.0600,0.7353,0.2571,0.6164,4.1139,140.0900,0.0000,1.4101,0.4904,2.6715,0.3271
11,2018,100,0,1,1,0,3526,908,3806,0,927,778,429,218,375,350,944,859,14024,0,100,100,69,31,30,700,139,0,22,13,75,2,3,1,31,37,90,92,64,39,9,149,10,11,7,12,11,11.7159,0.2629,0.3108,0.3735,0.6843,9.1883,7.7115,0.7434,2.1608,0.1000,3.4752,0.6400,0.6900,4.2900,0.7692,0.2308,0.6040,3.4692,140.2400,0.0000,1.2610,0.5236,3.5688,0.3161
11,2019,100,0,1,1,0,3404,909,3653,0,758,905,321,188,293,272,907,805,13654,0,100,100,53,47,29,579,106,0,19,5,68,4,0,2,25,42,86,83,81,34,4,126,14,15,10,4,2,9.7822,0.2227,0.2705,0.3167,0.5871,7.5050,8.9604,0.6733,1.8614,0.1400,2.8248,0.8100,0.5300,3.2100,0.8788,0.1176,0.6825,2.6931,136.5400,0.0000,1.0407,0.5298,4.8138,0.2816
11,2020,100,0,1,1,0,3457,921,3761,0,773,1021,426,236,353,332,955,696,14522,2,100,100,68,32,37,505,160,12,15,18,90,3,0,0,60,41,88,68,70,45,7,142,12,5,16,3,5,10.2532,0.2236,0.2801,0.3584,0.6385,7.5483,9.9700,0.8788,2.3045,0.1200,0.0000,0.7000,0.6800,4.2600,0.8409,0.1556,0.6197,3.2420,143.7822,0.0000,1.0948,0.5784,4.3263,0.2893
