player_id,team_id,league_id,position,role,uniform_number,playing_level,is_active,is_on_secondary,is_on_dl,is_on_dl60,must_be_active,just_signed,was_on_active,was_on_secondary,was_on_dl,mlb_service_years,secondary_service_years,pro_service_years,mlb_service_days,secondary_service_days,pro_service_days,mlb_service_days_this_year,secondary_service_days_this_year,pro_service_days_this_year,dl_days_this_year,years_protected_from_rule_5,is_on_waivers,designated_for_assignment,irrevocable_waivers,days_on_waivers,days_on_waivers_left,days_on_dfa_left,claimed_team_id,last_day_on_waivers,options_used,option_used_this_year,has_received_arbitration,was_traded,trade_status
246,9,100,2,0,0,0,1,0,0,0,0,0,0,0,0,11,0,11,1674,0,1786,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
247,25,100,4,0,0,0,1,0,0,0,0,0,0,0,0,9,0,9,1335,0,1447,97,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,11,100,2,0,0,0,1,0,0,0,0,0,0,0,0,11,0,11,1674,0,1786,97,0,97,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
258,9,100,9,0,0,0,1,0,0,0,0,0,0,0,0,11,0,11,1674,0,1786,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
266,3,100,8,0,0,0,1,0,0,0,0,0,0,0,0,11,0,11,1674,0,1786,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
268,24,100,8,0,0,0,1,0,0,0,0,0,0,0,0,11,0,11,1674,0,1786,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
270,9,100,7,0,0,0,1,0,0,0,0,0,0,0,0,11,0,11,1674,0,1786,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,10,0,11,1577,0,1689,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
273,2,100,2,12,0,0,1,0,0,0,0,0,0,0,0,11,0,11,1674,0,1786,97,0,97,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
275,25,100,2,0,0,0,1,0,0,0,0,0,0,0,0,11,0,11,1674,0,1786,97,0,97,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2
277,17,101,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
278,17,101,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
279,17,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
280,18,101,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
283,17,101,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
284,19,101,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
285,17,101,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
286,17,101,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
289,17,101,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
290,18,101,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
291,19,101,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
292,19,101,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
293,19,101,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
295,19,101,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
296,19,101,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
297,19,101,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
300,19,101,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
301,19,101,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
302,19,101,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
303,19,101,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
306,2,100,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,241,0,259,97,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,17,101,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,36,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
310,10,100,7,0,0,0,1,0,0,0,0,0,0,0,0,5,0,5,815,0,869,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
311,1,100,1,12,0,0,1,0,0,0,0,0,0,0,0,5,0,5,815,0,869,97,0,97,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
312,18,101,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
315,25,100,1,11,0,0,1,0,0,0,0,0,0,0,0,6,0,6,957,0,1011,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
318,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
320,18,101,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,0,67,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
321,1,100,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,4,673,0,727,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
322,16,101,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,19,101,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,137,0,137,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
324,1,100,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,241,0,259,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
326,9,100,1,13,0,0,1,0,0,0,0,0,0,0,0,3,0,3,529,0,583,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
