player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,war
428,2028,2,0,100,1,3,0,59,15,8,65,0,23,15,4,1,0,8,4,0,0,5,0,0,0,0,1,0,0.0000,1,0.0000
428,2028,2,0,100,1,2,0,33,9,7,37,0,16,11,4,0,0,4,3,0,0,4,0,0,0,0,0,0,0.0000,1,0.0000
428,2028,2,0,100,1,1,0,92,24,15,102,391,26,26,8,1,0,12,7,3,1,9,0,0,0,0,1,0,-0.4630,1,0.2700
428,2029,26,0,100,1,1,0,431,114,99,462,1722,100,100,20,7,9,69,46,30,16,24,0,10,0,3,4,0,0.2602,0,1.2990
428,2029,26,0,100,1,3,0,236,63,55,260,0,78,59,11,4,7,47,34,0,0,20,0,6,0,2,2,0,0.0000,0,0.0000
428,2029,26,0,100,1,2,0,195,51,44,202,0,70,41,9,3,2,22,12,0,0,4,0,4,0,1,2,0,0.0000,0,0.0000
428,2029,26,0,100,1,21,0,12,3,3,13,41,3,3,1,0,0,3,0,0,1,0,0,1,0,0,1,0,-0.0712,0,0.0000
429,2025,16,0,101,6,1,0,369,114,58,420,1567,101,101,13,0,4,44,49,11,4,39,0,13,0,2,10,0,1.4046,0,1.5207
429,2025,16,0,101,6,2,0,145,37,29,169,0,73,39,4,0,1,16,15,0,0,21,0,3,0,1,2,0,0.0000,0,0.0000
429,2025,16,0,101,6,3,0,224,77,29,251,0,85,62,9,0,3,28,34,0,0,18,0,10,0,1,8,0,0.0000,0,0.0000
429,2025,16,0,101,6,21,0,10,2,2,13,50,3,3,0,0,1,3,1,1,0,3,0,1,0,0,0,0,0.2044,0,0.0000
429,2026,16,0,101,6,1,0,387,110,58,450,1802,99,99,9,2,4,56,48,13,3,54,0,9,0,4,5,0,-0.2347,0,2.5307
429,2026,16,0,101,6,2,0,120,31,18,140,0,67,30,5,1,0,19,12,0,0,18,0,6,0,0,2,0,0.0000,0,0.0000
429,2026,16,0,101,6,3,0,267,79,40,310,0,93,69,4,1,4,37,36,0,0,36,0,3,0,4,3,0,0.0000,0,0.0000
429,2027,25,0,100,1,1,0,23,5,8,25,86,14,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-0.0041,0,-0.1928
429,2027,25,0,100,1,3,0,13,1,4,14,0,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0000,0,0.0000
429,2027,25,0,100,1,2,0,10,4,4,11,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0000,0,0.0000
430,2025,17,0,101,6,3,0,268,86,48,297,0,88,72,12,1,7,45,33,0,0,27,1,11,0,1,1,0,0.0000,0,0.0000
430,2025,17,0,101,6,1,0,395,125,64,432,1575,100,100,16,1,10,57,46,1,1,34,1,14,0,2,1,0,1.7624,0,2.2824
430,2025,17,0,101,6,2,0,127,39,16,135,0,59,28,4,0,3,12,13,0,0,7,0,3,0,1,0,0,0.0000,0,0.0000
430,2026,25,0,100,1,1,0,359,87,92,375,1317,100,100,21,0,11,34,37,0,0,13,0,15,0,1,2,0,-1.9231,0,-0.7456
430,2026,25,0,100,1,2,0,191,51,44,197,0,70,53,11,0,9,23,24,0,0,4,0,6,0,0,2,0,0.0000,0,0.0000
430,2026,25,0,100,1,3,0,168,36,48,178,0,67,47,10,0,2,11,13,0,0,9,0,9,0,1,0,0,0.0000,0,0.0000
430,2027,25,0,100,1,2,0,222,64,64,230,0,70,60,12,1,13,34,33,0,0,6,0,3,0,0,2,0,0.0000,0,0.0000
430,2027,25,0,100,1,1,0,418,114,122,439,1578,100,100,22,2,16,59,54,0,0,16,0,6,0,0,5,0,1.3705,0,0.4319
430,2027,25,0,100,1,3,0,196,50,58,209,0,76,40,10,1,3,25,21,0,0,10,0,3,0,0,3,0,0.0000,0,0.0000
