player_id,league_id,streak_id,value,has_ended,started,ended
69,100,5,5,1,"2025-10-11","2026-6-24"
69,100,7,9,1,"2026-10-22","2027-7-4"
69,100,7,1,0,"2027-8-27",NULL
69,100,6,6,1,"2028-7-26","2029-8-23"
69,100,4,1,0,"2029-6-25",NULL
69,100,5,2,0,"2029-8-23",NULL
70,101,5,4,1,"2022-8-16","2023-6-1"
70,101,7,6,1,"2022-8-16","2023-6-1"
70,101,6,3,1,"2023-8-9","2023-9-7"
70,101,6,1,0,"2023-9-28",NULL
70,100,7,7,1,"2025-7-19","2025-9-17"
70,100,6,8,1,"2025-9-17","2026-9-17"
70,100,7,1,0,"2025-10-20",NULL
70,100,4,14,1,"2027-6-25","2029-7-9"
70,100,5,6,1,"2028-8-17","2029-9-22"
70,100,6,1,0,"2029-10-8",NULL
71,101,4,3,1,"2024-6-20","2026-9-13"
71,101,5,5,1,"2024-9-5","2025-5-22"
71,101,6,7,1,"2025-5-31","2025-7-17"
71,101,7,4,1,"2025-8-15","2025-9-2"
71,101,6,1,0,"2026-9-13",NULL
71,101,4,1,0,"2026-9-25",NULL
72,100,5,1,1,"2018-6-17","2020-5-26"
72,100,4,2,0,"2018-9-9",NULL
72,100,6,1,1,"2020-5-26","2020-8-17"
72,100,5,1,0,"2020-8-17",NULL
72,101,5,1,1,"2021-8-17","2022-5-22"
72,101,6,2,1,"2022-5-22","2022-8-18"
72,101,4,1,1,"2022-6-23","2022-8-2"
72,101,5,2,0,"2022-8-18",NULL
73,100,3,4,1,"2018-8-2","2018-8-7"
73,100,1,8,1,"2018-8-16","2018-8-28"
73,100,0,6,1,"2018-8-17","2018-8-27"
73,100,2,2,1,"2018-9-28","2019-5-18"
73,101,0,24,1,"2021-6-24","2021-8-3"
73,101,3,8,1,"2021-7-11","2021-7-29"
73,101,1,4,1,"2021-8-7","2021-8-13"
73,101,2,1,1,"2021-9-21","2021-9-22"
73,101,0,4,0,"2021-9-30",NULL
73,101,1,1,0,"2021-10-3",NULL
75,100,3,2,1,"2018-7-4","2018-7-8"
75,100,0,7,1,"2018-7-26","2018-9-16"
75,100,1,3,1,"2018-7-30","2018-8-21"
75,100,0,1,0,"2018-9-25",NULL
75,100,1,1,0,"2018-9-25",NULL
75,101,1,6,1,"2021-6-17","2021-6-24"
75,101,0,12,1,"2021-8-13","2021-8-29"
75,101,3,4,1,"2022-5-30","2022-6-5"
75,101,2,1,1,"2022-8-2","2022-8-3"
76,100,5,10,1,"2020-6-22","2020-9-3"
76,100,6,7,1,"2020-9-3","2021-5-24"
76,100,7,18,1,"2021-6-4","2021-9-16"
76,100,6,2,0,"2029-10-7",NULL
77,100,7,13,1,"2018-6-1","2018-8-15"
77,100,6,7,1,"2023-7-12","2023-8-29"
77,100,5,10,1,"2025-6-1","2025-8-26"
77,100,6,1,0,"2028-10-15",NULL
77,100,7,1,0,"2028-10-20",NULL
78,100,3,6,1,"2019-5-28","2019-6-4"
78,100,0,13,1,"2020-6-1","2020-6-18"
78,100,1,8,1,"2020-6-5","2020-6-16"
78,100,2,3,1,"2024-6-6","2024-6-11"
79,100,6,5,1,"2018-8-29","2025-5-27"
79,101,4,6,1,"2021-5-20","2021-9-14"
79,101,5,2,1,"2021-7-29","2021-8-29"
79,101,6,1,0,"2021-8-29",NULL
79,101,4,3,0,"2021-9-16",NULL
79,100,4,10,1,"2025-8-27","2027-6-10"
79,100,5,2,1,"2026-7-25","2026-9-17"
79,100,5,4,0,"2027-6-10",NULL
80,100,7,4,1,"2018-6-19","2018-7-10"
80,100,5,10,1,"2019-10-5","2024-6-22"
80,100,4,3,1,"2025-6-9","2026-6-6"
80,100,6,6,1,"2025-8-23","2026-8-28"
80,100,4,6,0,"2026-6-20",NULL
80,100,6,1,0,"2027-10-15",NULL
81,100,2,3,1,"2025-10-12","2025-10-17"
81,100,0,26,1,"2028-7-25","2028-9-13"
81,100,1,12,1,"2029-6-18","2029-7-6"
81,100,3,5,1,"2029-6-28","2029-7-5"
81,100,0,2,0,"2029-10-17",NULL
81,100,3,1,0,"2029-10-18",NULL
82,100,2,3,1,"2018-6-13","2018-6-17"
82,100,1,4,1,"2018-8-5","2018-8-10"
82,100,0,12,1,"2019-7-14","2019-8-6"
82,100,3,3,1,"2019-9-4","2019-9-9"
82,100,0,1,0,"2019-10-5",NULL
82,100,3,1,0,"2019-10-5",NULL
83,100,0,1,1,"2018-5-18","2018-5-20"
83,100,3,1,1,"2019-9-22","2020-8-22"
83,100,1,2,1,"2020-8-22","2021-6-9"
83,100,0,1,0,"2021-7-28",NULL
84,100,0,1,1,"2018-5-26","2018-5-28"
84,100,3,1,1,"2018-5-26","2018-5-28"
84,100,1,1,1,"2018-5-26","2018-5-28"
85,100,4,4,1,"2018-7-4","2018-7-31"
85,100,5,4,1,"2018-9-9","2019-5-30"
85,100,7,5,1,"2019-6-30","2019-8-3"
85,100,6,4,1,"2019-8-24","2019-10-1"
85,100,4,4,0,"2021-9-8",NULL
85,100,6,1,0,"2022-10-1",NULL
86,100,5,1,0,"2020-6-28",NULL
86,101,5,8,1,"2022-6-1","2022-8-14"
86,101,7,12,1,"2022-6-1","2022-8-14"
86,101,6,1,1,"2022-9-10","2022-9-16"
86,101,5,4,0,"2022-9-16",NULL
86,101,7,4,0,"2022-9-16",NULL
87,100,2,4,1,"2027-6-29","2027-7-5"
87,100,0,24,1,"2027-9-13","2027-10-21"
87,100,1,10,1,"2029-8-14","2029-8-28"
87,100,3,10,1,"2029-9-20","2029-10-2"
87,100,0,3,0,"2029-10-16",NULL
87,100,1,3,0,"2029-10-16",NULL
88,100,6,16,1,"2018-6-30","2019-8-3"
88,100,5,2,1,"2019-8-25","2019-9-22"
88,100,7,5,1,"2019-8-25","2019-9-22"
88,100,6,12,0,"2020-6-22",NULL
90,100,6,4,1,"2020-9-23","2021-6-1"
90,100,5,2,1,"2021-7-15","2021-8-23"
90,100,7,2,0,"2021-9-24",NULL
90,100,6,15,0,"2022-6-26",NULL
90,100,4,5,1,"2026-7-6","2028-10-2"
90,100,4,2,0,"2029-5-17",NULL
91,100,3,2,1,"2018-6-30","2018-7-3"
91,100,1,3,1,"2018-7-15","2018-7-27"
91,100,0,8,1,"2018-7-28","2018-8-11"
91,100,2,1,1,"2018-9-27","2018-9-29"
91,101,3,5,1,"2021-7-12","2021-7-27"
91,101,1,4,1,"2021-7-14","2021-7-27"
91,101,2,2,1,"2021-7-16","2021-7-27"
91,101,0,9,1,"2021-7-28","2021-8-8"
91,101,0,7,0,"2022-6-7",NULL
91,101,3,2,0,"2022-9-21",NULL
92,100,1,8,1,"2021-8-9","2021-8-19"
92,101,3,6,1,"2022-8-12","2022-8-19"
92,101,0,10,1,"2022-9-15","2022-9-29"
