player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs
501,2028,24,25,100,1,1,1,8,0,3,3,9,0,1,1,1,2,0,36,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0027,4.7000,0,5
502,2028,2,734,100,1,19,1,6,0,2,2,6,0,0,0,0,1,1,18,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0389,2.5000,0,4
502,2028,2,737,100,1,19,2,6,0,0,1,6,0,0,0,0,2,3,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0157,0.8000,0,6
502,2028,2,746,100,1,19,1,5,0,1,1,5,0,0,0,0,1,2,21,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0618,4.5000,0,4
502,2028,2,749,100,1,19,2,6,0,0,1,6,0,0,0,0,2,3,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1238,5.1000,0,6
502,2028,2,758,100,1,19,0,1,0,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0336,1.4000,0,1
502,2028,2,761,100,1,19,3,14,0,4,3,16,0,1,1,1,3,4,63,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0144,3.2000,0,10
502,2028,2,775,100,1,19,1,6,0,1,2,7,0,1,0,0,1,2,38,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0.3986,25.2000,0,5
502,2028,2,782,100,1,19,1,5,0,1,2,6,0,1,2,2,0,2,25,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-0.0726,2.4000,0,4
502,2028,2,786,100,1,19,2,8,0,2,2,14,0,5,2,2,3,2,62,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,-0.5992,52.1000,0,7
