player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,war
336,2025,2,0,100,1,21,2,12,0,6,3,13,0,1,3,3,3,0,51,0,4,0,0,1,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,0,0,0,0,1,1,0,-0.4438,20.6000,0,6,0.0000
336,2026,2,0,100,1,1,59,230,0,57,61,271,0,35,30,29,57,52,1027,2,57,0,3,6,11,41,7,0,0,2,7,2,0,1,2,6,21,7,0,16,5,57,0,0,3,2,13,46,17,-0.1763,454.8000,0,179,-0.1422
336,2026,2,0,100,1,2,19,68,0,14,19,77,0,8,15,14,16,19,0,0,46,0,0,0,0,11,0,0,0,0,3,1,0,0,1,1,0,2,0,0,0,46,0,0,0,0,0,15,2,0.0000,118.2000,0,57,0.0000
336,2026,2,0,100,1,3,40,162,0,43,42,194,0,27,15,15,41,33,0,2,55,0,0,0,0,30,7,0,0,2,4,1,0,1,1,5,0,5,0,0,0,55,0,0,0,0,0,31,15,0.0000,336.6000,0,122,0.0000
336,2026,2,0,100,1,21,6,28,0,9,4,32,0,3,8,8,9,6,122,2,6,0,0,1,2,5,3,0,0,0,1,0,0,0,0,1,2,0,0,3,1,6,0,0,3,0,0,4,1,-0.2239,54.2000,0,20,0.0000
336,2027,2,0,100,1,1,14,60,0,17,13,71,0,11,8,8,14,15,250,2,14,0,3,2,2,11,6,0,0,0,0,1,0,2,1,0,8,1,0,3,1,14,0,0,0,1,2,6,2,-0.2275,110.5000,0,44,0.2834
336,2027,2,0,100,1,2,2,12,0,6,3,15,0,3,1,1,1,2,0,0,13,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0.0000,26.7000,0,6,0.0000
336,2027,2,0,100,1,3,12,48,0,11,10,56,0,8,7,7,13,13,0,2,14,0,0,0,0,7,4,0,0,0,0,1,0,2,1,0,0,1,0,0,0,14,0,0,0,0,0,2,2,0.0000,83.8000,0,38,0.0000
337,2023,19,0,101,6,2,33,132,0,36,18,144,0,10,17,17,39,41,0,1,45,0,0,0,0,27,1,0,2,0,8,0,0,0,2,0,0,3,0,0,0,45,0,0,0,0,0,6,5,0.0000,206.3000,0,100,0.0000
337,2023,19,0,101,6,1,72,280,0,70,48,301,0,17,28,26,75,87,1077,1,49,0,3,3,12,54,4,0,3,1,11,0,0,0,4,1,26,7,0,16,4,49,0,0,6,0,7,28,9,1.4628,436.8000,0,217,0.1258
337,2023,19,0,101,6,3,39,148,0,34,30,157,0,7,11,9,36,46,0,0,49,0,0,0,0,27,3,0,1,1,3,0,0,0,2,1,0,4,0,0,0,49,0,0,0,0,0,22,4,0.0000,230.5000,0,117,0.0000
337,2024,2,0,100,1,3,24,87,0,19,22,97,0,7,6,6,23,23,0,0,35,0,0,0,0,16,1,1,1,0,2,0,0,0,2,1,0,4,0,0,0,35,0,0,0,0,0,25,7,0.0000,98.9000,0,72,0.0000
337,2024,2,0,100,1,2,15,57,0,11,15,67,0,10,8,7,13,17,0,1,29,0,0,0,0,6,2,0,0,0,3,0,0,1,1,0,0,1,0,0,0,29,0,0,0,0,0,5,2,0.0000,69.0000,0,46,0.0000
337,2024,2,0,100,1,1,39,144,0,30,37,164,0,17,14,13,36,40,616,1,35,0,2,2,2,22,3,1,1,0,5,0,0,1,3,1,9,5,0,3,1,35,0,0,2,0,6,30,9,0.2446,167.9000,0,118,0.1048
337,2024,2,0,100,1,21,5,18,0,3,6,23,0,3,1,1,3,6,87,1,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,4,0,0,0,1,0,3,3,0.0373,18.2000,0,16,0.0000
337,2025,2,0,100,1,2,19,78,0,26,14,88,0,8,14,14,17,21,0,1,36,0,0,0,0,16,6,0,1,0,4,0,0,0,2,1,0,2,0,0,0,36,0,0,0,0,0,13,5,0.0000,94.1000,0,58,0.0000
337,2025,2,0,100,1,1,46,177,0,47,37,200,0,21,22,18,33,58,769,0,43,0,3,1,5,33,7,0,1,1,6,0,0,1,2,1,15,4,0,7,2,43,0,0,5,3,7,31,9,-0.2723,243.8000,0,138,-0.1539
337,2025,2,0,100,1,3,26,99,0,21,23,112,0,13,8,4,16,37,0,2,41,0,0,0,0,17,1,0,0,1,2,0,0,1,0,0,0,2,0,0,0,41,0,0,0,0,0,18,4,0.0000,149.7000,0,80,0.0000
337,2025,2,0,100,1,21,5,20,0,4,7,20,0,0,3,3,6,3,73,2,3,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,2,1,-0.0840,9.8000,0,17,0.0000
337,2026,2,0,100,1,1,51,196,0,50,47,224,0,24,40,35,51,48,809,0,47,0,2,5,11,35,4,1,2,0,11,0,0,4,1,1,20,6,0,15,4,47,0,0,1,1,2,41,10,-1.2699,303.5000,0,153,-0.6027
337,2026,2,0,100,1,3,27,97,0,22,25,111,0,12,14,11,27,24,0,0,46,0,0,0,0,19,2,0,2,0,1,0,0,3,0,0,0,4,0,0,0,46,0,0,0,0,0,26,2,0.0000,139.8000,0,81,0.0000
337,2026,2,0,100,1,2,24,99,0,28,22,113,0,12,26,24,24,24,0,0,45,0,0,0,0,16,2,1,0,0,10,0,0,1,1,1,0,2,0,0,0,45,0,0,0,0,0,15,8,0.0000,163.7000,0,72,0.0000
337,2026,2,0,100,1,21,5,21,0,5,7,22,0,1,1,1,4,5,92,2,6,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,6,0,0,0,0,1,5,2,0.5012,33.1000,0,17,0.0000
337,2027,2,0,100,1,1,10,39,0,11,13,44,0,3,4,4,11,4,176,0,11,0,1,0,3,7,3,0,1,1,0,0,0,0,1,1,5,2,0,4,1,11,0,0,1,0,1,16,7,0.2477,58.0000,0,30,0.3857
337,2027,2,0,100,1,3,6,23,0,5,10,28,0,3,4,4,5,3,0,0,11,0,0,0,0,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,16,7,0.0000,46.1000,0,18,0.0000
337,2027,2,0,100,1,2,4,16,0,6,3,16,0,0,0,0,6,1,0,0,10,0,0,0,0,4,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0.0000,11.9000,0,12,0.0000
343,2024,2,0,100,1,1,0,1,0,1,0,2,0,1,0,0,0,0,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0.0000,0.2000,1,1,-0.0282
343,2024,2,0,100,1,2,0,1,0,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.0000,0.2000,1,1,0.0000
354,2026,1,0,100,1,1,0,2,0,0,0,3,0,1,0,0,1,1,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0000,0.1000,0,2,-0.0241
354,2026,1,0,100,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0000,0.0000,0,1,0.0000
354,2026,1,0,100,1,3,0,1,0,0,0,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0000,0.1000,0,1,0.0000
358,2023,19,0,101,6,2,35,141,0,36,26,158,8,12,15,14,34,42,0,0,15,15,0,0,0,27,2,0,3,1,6,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000,152.5000,0,105,0.0000
358,2023,19,0,101,6,1,76,300,0,85,54,333,30,22,40,35,69,92,1224,0,15,15,1,7,0,66,8,0,6,2,9,0,0,0,2,5,0,6,4,0,0,0,0,0,7,4,0,0,0,-0.6077,328.0000,0,228,1.0656
358,2023,19,0,101,6,3,41,159,0,49,28,175,22,10,25,21,35,50,0,0,15,15,0,0,0,39,6,0,3,1,3,0,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0000,175.5000,0,123,0.0000
358,2024,19,0,101,6,1,134,528,0,142,100,583,76,46,81,79,144,142,2213,2,26,26,8,7,0,112,13,0,4,3,14,0,0,0,4,5,0,8,9,0,0,0,0,0,13,7,0,0,0,-1.6331,553.9000,0,404,2.3772
358,2024,19,0,101,6,21,9,36,0,10,7,40,1,3,3,3,8,12,137,0,2,2,0,1,0,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219,43.3000,0,27,0.0000
358,2024,19,0,101,6,3,56,212,0,56,46,236,48,21,35,35,60,51,0,0,26,26,0,0,0,41,7,0,1,1,7,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0000,219.3000,0,168,0.0000
358,2024,19,0,101,6,2,78,316,0,86,54,347,28,25,46,44,84,91,0,2,26,26,0,0,0,71,6,0,3,2,7,0,0,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0000,334.6000,0,236,0.0000
358,2025,1,0,100,1,1,153,591,0,158,100,650,79,49,86,81,148,185,2365,1,25,25,7,12,0,112,23,0,6,4,19,0,0,0,6,4,0,16,9,0,0,0,0,0,16,4,0,0,0,-1.3898,646.2000,0,460,1.2266
358,2025,1,0,100,1,3,68,261,0,71,45,292,77,25,38,36,60,84,0,0,25,25,0,0,0,53,12,0,3,0,6,0,0,0,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0000,293.1000,0,204,0.0000
358,2025,1,0,100,1,2,85,330,0,87,55,358,2,24,48,45,88,101,0,1,25,25,0,0,0,59,11,0,3,4,13,0,0,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0.0000,353.1000,0,256,0.0000
358,2026,1,0,100,1,1,129,516,0,153,102,587,77,56,90,87,134,129,2283,1,25,25,8,12,0,104,28,1,6,2,19,0,0,0,7,8,0,14,8,0,0,0,0,0,16,5,0,0,0,-2.6576,578.8000,0,388,0.5452
358,2026,1,0,100,1,3,56,231,0,72,42,268,62,32,45,45,54,62,0,0,25,25,0,0,0,51,14,1,2,0,7,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0000,268.2000,0,168,0.0000
358,2026,1,0,100,1,2,73,285,0,81,60,319,15,24,45,42,80,67,0,1,25,25,0,0,0,53,14,0,4,2,12,0,0,0,5,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0.0000,310.6000,0,220,0.0000
358,2027,1,0,100,1,1,25,122,0,47,11,140,28,16,43,33,28,34,533,0,6,6,1,3,0,31,10,0,1,0,6,0,0,0,2,1,0,1,1,0,0,0,0,0,5,1,0,0,0,-2.0050,129.1000,0,75,-0.5476
358,2027,1,0,100,1,2,12,64,0,28,6,76,6,11,24,17,13,17,0,0,6,6,0,0,0,20,4,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,72.3000,0,36,0.0000
358,2027,1,0,100,1,3,13,58,0,19,5,64,22,5,19,16,15,17,0,0,6,6,0,0,0,11,6,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0000,56.8000,0,39,0.0000
359,2023,18,0,101,6,2,16,67,0,20,8,78,10,7,9,8,24,15,0,1,9,6,0,0,0,15,2,1,1,1,2,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,3,2,0.0000,64.7000,0,49,0.0000
359,2023,18,0,101,6,1,42,163,0,49,18,184,22,17,23,21,50,45,682,0,9,6,3,2,0,40,2,1,1,1,6,0,0,0,1,2,2,5,4,0,0,3,0,0,6,6,0,3,2,-0.2256,159.1000,0,126,-0.0060
359,2023,18,0,101,6,3,25,96,0,29,10,106,12,10,14,13,26,30,0,2,9,6,0,0,0,25,0,0,0,0,4,0,0,0,1,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0.0000,94.4000,0,77,0.0000
359,2024,18,0,101,6,1,153,620,0,177,106,683,99,56,86,84,159,177,2568,2,32,32,6,7,0,133,16,0,4,2,26,0,0,0,3,3,0,9,8,0,0,0,0,0,24,5,0,0,0,-1.9684,666.4000,0,461,1.1639
359,2024,18,0,101,6,21,13,48,0,11,15,51,3,2,0,0,15,7,200,0,3,3,0,0,0,10,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4943,54.2000,0,39,0.0000
359,2024,18,0,101,6,2,80,325,0,95,52,352,68,24,43,41,90,85,0,1,32,32,0,0,0,74,8,0,1,1,12,0,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0000,336.3000,0,241,0.0000
359,2024,18,0,101,6,3,73,295,0,82,54,331,31,32,43,43,69,92,0,1,32,32,0,0,0,59,8,0,3,1,14,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0000,330.1000,0,220,0.0000
