"team_id","parent_team_id","league_id","player_id","year","ab","h","SO","pa","pitches_seen","g","Dbl","Trp","hr","r","rbi","sb","bb","ibb","sf","hp","ip","p_ab","p_tb","ha","k","walks","p_r","er","w","l","s","p_sf","hra","qs","cg","sho","hld","zr","war","games","games_remaining","pa_pace","avg","obp","sin","rc","tb","slg","ops","iso","b_babip","bat_k_pcnt","bat_bb_pcnt","bat_k_bb_pcnt","era","whip","p_babip","fip","HR_per_9","R_per_9","H_per_9","K_per_9","BB_per_9","pit_k_pcnt","pit_bb_pcnt","pit_k_bb_pcnt","full_name","position_name","league_abbr","parent_team_abbr","team_name","winloss","name_pos","url"
1,1,100,240,2017,362,110,41,387,1284,86,22,1,3,50,41,1,23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.1416,0.64,162,0,387,0.304,0.346,84,50,143,0.395,0.741,0.091,0.335,0.11,0.06,0.05,0,0,0,0,0,0,0,0,0,0,0,0,"Alex Sincario","2B","PBE","NYV","New York Voyagers","0 - 0","Alex Sincario - 2B","http://www.pbesim.com/players/player_240.html"
1,1,100,10,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,420,0,92,107,49,55,51,9,9,9,5,19,6,0,0,5,-1.4085,-0.23,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.062,1.248,0.244,4.69,1.51,4.38,7.33,8.52,3.9,0.25,0.12,0.13,"Ludwig Groetzinger","P","PBE","NYV","New York Voyagers","9 - 9","Ludwig Groetzinger - P","http://www.pbesim.com/players/player_10.html"
1,1,100,174,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,488,0,132,120,36,52,48,12,5,16,3,16,0,0,0,1,0.4412,1.16,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.456,1.344,0.327,3.71,1.15,3.74,9.5,8.64,2.59,0.25,0.07,0.18,"Penny Kowers","P","PBE","NYV","New York Voyagers","12 - 5","Penny Kowers - P","http://www.pbesim.com/players/player_174.html"
1,1,100,97,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,650,0,206,91,47,92,81,5,9,0,6,16,11,1,1,0,0.1723,1.39,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.703,1.632,0.346,4.18,0.93,5.34,11.96,5.28,2.73,0.14,0.07,0.07,"Pene Pequeño","P","PBE","NYV","New York Voyagers","5 - 9","Pene Pequeño - P","http://www.pbesim.com/players/player_97.html"
1,1,100,177,2017,426,134,43,477,1731,100,27,2,16,80,61,0,32,3,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3403,2.9,162,0,477,0.315,0.379,89,82,213,0.5,0.879,0.185,0.316,0.09,0.07,0.02,0,0,0,0,0,0,0,0,0,0,0,0,"Adrian Columbus","RF","PBE","NYV","New York Voyagers","0 - 0","Adrian Columbus - RF","http://www.pbesim.com/players/player_177.html"
1,1,100,174,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,432,0,97,133,19,34,33,1,6,23,2,7,0,0,0,3,0.2011,2.87,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.538,0.991,0.306,2.09,0.54,2.62,7.46,10.23,1.46,0.31,0.04,0.27,"Penny Kowers","P","PBE","NYV","New York Voyagers","1 - 6","Penny Kowers - P","http://www.pbesim.com/players/player_174.html"
1,1,100,334,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,189,0,55,42,30,37,37,4,0,0,1,6,0,0,0,1,-0.583,-0.42,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.085,1.809,0.345,4.89,1.15,7.09,10.53,8.04,5.74,0.22,0.16,0.06,"Michael Lang","P","PBE","NYV","New York Voyagers","4 - 0","Michael Lang - P","http://www.pbesim.com/players/player_334.html"
1,1,100,10,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,313,0,64,104,36,30,29,4,7,20,2,9,0,0,0,2,-0.4428,1.22,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.035,1.163,0.272,3.3,0.94,3.14,6.7,10.88,3.77,0.33,0.12,0.21,"Ludwig Groetzinger","P","PBE","NYV","New York Voyagers","4 - 7","Ludwig Groetzinger - P","http://www.pbesim.com/players/player_10.html"
1,1,100,46,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,209,0,52,46,23,25,24,5,0,3,5,5,0,0,0,0,0.299,0.26,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.927,1.364,0.288,3.86,0.82,4.09,8.51,7.53,3.76,0.22,0.11,0.11,"Fastguy Pitcherman","P","PBE","NYV","New York Voyagers","5 - 0","Fastguy Pitcherman - P","http://www.pbesim.com/players/player_46.html"
1,1,100,180,2024,354,74,78,400,1556,100,19,1,5,34,42,0,41,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6397,0.7,162,0,400,0.209,0.289,49,32,110,0.311,0.6,0.102,0.25,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,"Pepe Alazar","CF","PBE","NYV","New York Voyagers","0 - 0","Pepe Alazar - CF","http://www.pbesim.com/players/player_180.html"
