"league_id","team_id","game_id","date","time","innings","runs","hits","team_abbr","team_name","home/away","win","loss","division","league_abbr"
100,3,83,"2027-6-14",1905,9,3,11,"PRO","Providence Crabs","away",0,1,"Eastern Division","PBE"
100,3,87,"2027-6-15",1905,9,3,6,"PRO","Providence Crabs","away",0,1,"Eastern Division","PBE"
100,3,91,"2027-6-16",1905,9,10,17,"PRO","Providence Crabs","away",1,0,"Eastern Division","PBE"
100,3,95,"2027-6-19",1905,9,0,5,"PRO","Providence Crabs","away",0,1,"Eastern Division","PBE"
100,9,3,"2027-5-15",1905,9,3,6,"SAS","San Antonio Sloths","away",1,0,"Western Division","PBE"
100,9,7,"2027-5-16",1905,9,5,8,"SAS","San Antonio Sloths","away",1,0,"Western Division","PBE"
100,9,11,"2027-5-17",1905,9,11,14,"SAS","San Antonio Sloths","away",1,0,"Western Division","PBE"
100,9,15,"2027-5-20",1905,9,8,13,"SAS","San Antonio Sloths","home",1,0,"Western Division","PBE"
100,9,19,"2027-5-21",1905,9,8,15,"SAS","San Antonio Sloths","home",1,0,"Western Division","PBE"
100,9,23,"2027-5-22",1905,9,4,12,"SAS","San Antonio Sloths","away",1,0,"Western Division","PBE"
100,9,27,"2027-5-23",1905,9,3,8,"SAS","San Antonio Sloths","away",0,1,"Western Division","PBE"
100,9,34,"2027-5-26",1905,9,3,8,"SAS","San Antonio Sloths","home",1,0,"Western Division","PBE"
100,9,38,"2027-5-27",1905,10,5,9,"SAS","San Antonio Sloths","home",1,0,"Western Division","PBE"
100,9,40,"2027-5-28",1905,9,3,9,"SAS","San Antonio Sloths","home",0,1,"Western Division","PBE"
100,9,43,"2027-5-30",1905,9,8,13,"SAS","San Antonio Sloths","away",1,0,"Western Division","PBE"
100,9,47,"2027-5-31",1905,9,5,5,"SAS","San Antonio Sloths","away",0,1,"Western Division","PBE"
100,9,51,"2027-6-1",1905,9,8,14,"SAS","San Antonio Sloths","away",1,0,"Western Division","PBE"
100,9,58,"2027-6-4",1905,9,6,10,"SAS","San Antonio Sloths","away",1,0,"Western Division","PBE"
100,9,62,"2027-6-5",1905,9,3,10,"SAS","San Antonio Sloths","away",0,1,"Western Division","PBE"
100,9,66,"2027-6-6",1905,9,4,9,"SAS","San Antonio Sloths","away",0,1,"Western Division","PBE"
100,9,69,"2027-6-9",1905,9,0,3,"SAS","San Antonio Sloths","home",0,1,"Western Division","PBE"
100,9,73,"2027-6-10",1905,9,9,14,"SAS","San Antonio Sloths","home",1,0,"Western Division","PBE"
100,9,77,"2027-6-11",1905,9,2,6,"SAS","San Antonio Sloths","home",0,1,"Western Division","PBE"
100,9,82,"2027-6-14",1905,9,8,11,"SAS","San Antonio Sloths","away",1,0,"Western Division","PBE"
100,9,85,"2027-6-15",1905,9,15,17,"SAS","San Antonio Sloths","away",1,0,"Western Division","PBE"
100,9,89,"2027-6-16",1905,9,6,8,"SAS","San Antonio Sloths","away",1,0,"Western Division","PBE"
100,9,93,"2027-6-17",1905,9,4,8,"SAS","San Antonio Sloths","away",1,0,"Western Division","PBE"
100,9,96,"2027-6-19",1905,9,6,9,"SAS","San Antonio Sloths","home",1,0,"Western Division","PBE"
100,25,3,"2027-5-15",1905,9,1,3,"UTA","Utah Railroaders","home",0,1,"Western Division","PBE"
100,25,7,"2027-5-16",1905,9,0,2,"UTA","Utah Railroaders","home",0,1,"Western Division","PBE"
100,25,11,"2027-5-17",1905,9,2,3,"UTA","Utah Railroaders","home",0,1,"Western Division","PBE"
100,25,17,"2027-5-20",1905,9,8,15,"UTA","Utah Railroaders","away",1,0,"Western Division","PBE"
100,25,21,"2027-5-21",1905,9,2,8,"UTA","Utah Railroaders","away",0,1,"Western Division","PBE"
100,25,25,"2027-5-22",1905,9,1,7,"UTA","Utah Railroaders","home",0,1,"Western Division","PBE"
100,25,28,"2027-5-23",1905,9,6,7,"UTA","Utah Railroaders","home",0,1,"Western Division","PBE"
100,25,34,"2027-5-26",1905,9,1,5,"UTA","Utah Railroaders","away",0,1,"Western Division","PBE"
100,25,38,"2027-5-27",1905,10,4,8,"UTA","Utah Railroaders","away",0,1,"Western Division","PBE"
100,25,40,"2027-5-28",1905,9,5,9,"UTA","Utah Railroaders","away",1,0,"Western Division","PBE"
100,25,42,"2027-5-30",1905,9,2,6,"UTA","Utah Railroaders","home",0,1,"Western Division","PBE"
100,25,46,"2027-5-31",1905,9,1,7,"UTA","Utah Railroaders","home",0,1,"Western Division","PBE"
100,25,50,"2027-6-1",1905,9,3,6,"UTA","Utah Railroaders","away",0,1,"Western Division","PBE"
100,25,54,"2027-6-2",1905,9,2,3,"UTA","Utah Railroaders","away",0,1,"Western Division","PBE"
100,25,57,"2027-6-4",1905,9,1,6,"UTA","Utah Railroaders","away",0,1,"Western Division","PBE"
100,25,61,"2027-6-5",1905,9,0,3,"UTA","Utah Railroaders","away",0,1,"Western Division","PBE"
