"league_id","player_id","ab","h","SO","pa","pitches_seen","g","Dbl","Trp","hr","r","rbi","sb","bb","ibb","sf","hp","ip","p_ab","p_tb","ha","k","walks","p_r","er","w","l","s","p_sf","hra","qs","cg","sho","hld","zr","war","avg","obp","sin","rc","tb","slg","ops","iso","b_babip","bat_k_pcnt","bat_bb_pcnt","bat_k_bb_pcnt","era","whip","p_babip","fip","HR_per_9","R_per_9","H_per_9","K_per_9","BB_per_9","pit_k_pcnt","pit_bb_pcnt","pit_k_bb_pcnt","full_name","position_name","league_abbr","winloss","name_pos","url","pitch_hit"
101,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,492,0,140,79,43,68,62,8,8,0,3,16,9,0,0,0,-1.0153,1.11,0,0,0,0,0,0,0,0,0,0,0,0,4.537,1.488,0.31,4.56,1.17,4.98,10.24,5.78,3.15,0.16,0.09,0.07,"Daquan Nibbason","P","MiLPBE","8 - 8","Daquan Nibbason - P","http://www.pbesim.com/players/player_463.html","Pitcher"
101,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,739,0,158,158,79,78,68,10,12,35,9,26,0,0,0,25,0.6746,0.83,0,0,0,0,0,0,0,0,0,0,0,0,3.015,1.167,0.234,4.38,1.15,3.46,7,7,3.5,0.21,0.11,0.1,"Twain  Teetoo","P","MiLPBE","10 - 12","Twain  Teetoo - P","http://www.pbesim.com/players/player_144.html","Pitcher"
101,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,701,0,224,110,101,122,116,9,11,1,10,16,9,0,0,3,-0.0776,1.02,0,0,0,0,0,0,0,0,0,0,0,0,6.07,1.89,0.356,4.79,0.84,6.38,11.72,5.76,5.28,0.16,0.14,0.02,"Justin Frey","P","MiLPBE","9 - 11","Justin Frey - P","http://www.pbesim.com/players/player_370.html","Pitcher"
101,291,811,232,106,929,3539,200,25,6,9,115,81,26,88,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0967,3.64,0.286,0.363,192,108,296,0.365,0.728,0.079,0.32,0.11,0.09,0.02,0,0,0,0,0,0,0,0,0,0,0,0,"Jerry  -Catloaf-","3B","MiLPBE","0 - 0","Jerry  -Catloaf- - 3B","http://www.pbesim.com/players/player_291.html","Hitter"
101,347,398,122,81,437,1577,100,12,3,9,70,47,33,33,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4648,3.22,0.307,0.362,98,61,167,0.42,0.782,0.113,0.363,0.19,0.08,0.11,0,0,0,0,0,0,0,0,0,0,0,0,"Andrew Cathington","CF","MiLPBE","0 - 0","Andrew Cathington - CF","http://www.pbesim.com/players/player_347.html","Hitter"
101,146,815,244,115,930,3630,200,20,6,21,127,97,3,106,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7795,6.55,0.299,0.383,197,130,339,0.416,0.799,0.117,0.327,0.12,0.11,0.01,0,0,0,0,0,0,0,0,0,0,0,0,"Louis  Storm ","2B","MiLPBE","0 - 0","Louis  Storm  - 2B","http://www.pbesim.com/players/player_146.html","Hitter"
101,348,1045,282,175,1163,4262,265,10,1,22,134,115,3,102,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2665,3.27,0.27,0.337,249,122,360,0.344,0.681,0.074,0.304,0.15,0.09,0.06,0,0,0,0,0,0,0,0,0,0,0,0,"Shaun Parrish","LF","MiLPBE","0 - 0","Shaun Parrish - LF","http://www.pbesim.com/players/player_348.html","Hitter"
101,474,12,4,1,12,35,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2966,0.09,0.333,0.333,2,2,6,0.5,0.833,0.167,0.364,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,"Gregory Stevens","1B","MiLPBE","0 - 0","Gregory Stevens - 1B","http://www.pbesim.com/players/player_474.html","Hitter"
101,375,359,104,42,433,1699,100,13,1,5,57,37,2,58,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5356,2.04,0.29,0.399,85,54,134,0.373,0.772,0.083,0.313,0.1,0.13,-0.03,0,0,0,0,0,0,0,0,0,0,0,0,"Hunter Harrison","3B","MiLPBE","0 - 0","Hunter Harrison - 3B","http://www.pbesim.com/players/player_375.html","Hitter"
101,351,1000,271,183,1101,3981,270,20,1,23,130,131,53,84,2,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3511,1.03,0.271,0.331,227,121,362,0.362,0.693,0.091,0.309,0.17,0.08,0.09,0,0,0,0,0,0,0,0,0,0,0,0,"Dana Piebird","1B","MiLPBE","0 - 0","Dana Piebird - 1B","http://www.pbesim.com/players/player_351.html","Hitter"
