"player_id","service.time","label","position_name"
306,6,"Total","2B"
307,1,"Total","SP"
307,1,"MIPBE","SP"
308,1,"Total","RF"
308,1,"MIPBE","RF"
309,5,"Total","CL"
309,4,"MIPBE","CL"
309,1,"PBE","CL"
310,2,"MIPBE","LF"
310,6,"Total","LF"
310,4,"PBE","LF"
311,6,"Total","CL"
311,4,"PBE","CL"
311,2,"MIPBE","CL"
312,6,"Total","LF"
312,6,"MIPBE","LF"
313,5,"Total","C"
313,3,"MIPBE","C"
313,2,"PBE","C"
314,5,"Total","1B"
314,5,"MIPBE","1B"
315,5,"PBE","SP"
315,5,"Total","SP"
316,1,"MIPBE","1B"
316,4,"PBE","1B"
316,5,"Total","1B"
317,5,"Total","3B"
317,5,"MIPBE","3B"
318,2,"MIPBE","2B"
318,2,"Total","2B"
319,1,"PBE","SP"
319,4,"MIPBE","SP"
319,5,"Total","SP"
320,1,"PBE","CL"
320,5,"MIPBE","CL"
320,6,"Total","CL"
321,2,"MIPBE","1B"
321,5,"Total","1B"
321,3,"PBE","1B"
322,2,"MIPBE","CL"
322,2,"Total","CL"
323,1,"PBE","LF"
323,5,"MIPBE","LF"
323,6,"Total","LF"
324,5,"Total","RF"
324,5,"MIPBE","RF"
325,1,"PBE","CL"
325,1,"MIPBE","CL"
325,2,"Total","CL"
326,3,"MIPBE","CL"
326,5,"Total","CL"
326,2,"PBE","CL"
327,4,"Total","SP"
327,2,"MIPBE","SP"
327,2,"PBE","SP"
328,5,"MIPBE","CL"
328,6,"Total","CL"
328,1,"PBE","CL"
329,2,"MIPBE","SP"
329,3,"PBE","SP"
329,5,"Total","SP"
330,5,"MIPBE","2B"
330,5,"Total","2B"
331,1,"MIPBE","SP"
331,3,"PBE","SP"
331,4,"Total","SP"
332,4,"Total","SP"
332,4,"MIPBE","SP"
333,2,"PBE","CL"
333,5,"Total","CL"
333,3,"MIPBE","CL"
334,4,"Total","SP"
334,1,"MIPBE","SP"
334,3,"PBE","SP"
335,2,"MIPBE","SP"
335,2,"PBE","SP"
335,4,"Total","SP"
336,3,"PBE","CL"
336,1,"MIPBE","CL"
336,4,"Total","CL"
337,3,"PBE","CL"
337,1,"MIPBE","CL"
337,4,"Total","CL"
338,4,"MIPBE","C"
338,4,"Total","C"
339,4,"Total","2B"
339,4,"MIPBE","2B"
341,1,"PBE","2B"
341,3,"MIPBE","2B"
341,4,"Total","2B"
342,4,"Total","2B"
342,1,"PBE","2B"
342,3,"MIPBE","2B"
343,2,"Total","1B"
343,1,"MIPBE","1B"
343,1,"PBE","1B"
344,2,"MIPBE","2B"
344,4,"Total","2B"
344,2,"PBE","2B"
345,1,"PBE","2B"
345,3,"MIPBE","2B"
345,4,"Total","2B"
346,1,"MIPBE","LF"
346,4,"Total","LF"
346,3,"PBE","LF"
347,1,"Total","CF"
347,1,"MIPBE","CF"
348,4,"Total","LF"
348,4,"MIPBE","LF"
349,4,"Total","RF"
349,1,"MIPBE","RF"
349,3,"PBE","RF"
350,4,"MIPBE","LF"
350,4,"Total","LF"
351,4,"Total","1B"
351,4,"MIPBE","1B"
352,2,"Total","1B"
352,2,"MIPBE","1B"
353,4,"Total","RF"
353,2,"MIPBE","RF"
353,2,"PBE","RF"
354,4,"Total","2B"
354,2,"PBE","2B"
354,2,"MIPBE","2B"
355,2,"PBE","SS"
355,2,"MIPBE","SS"
355,4,"Total","SS"
356,2,"MIPBE","C"
356,4,"Total","C"
356,2,"PBE","C"
357,1,"MIPBE","2B"
357,1,"Total","2B"
358,4,"Total","SP"
358,2,"PBE","SP"
358,2,"MIPBE","SP"
359,4,"MIPBE","CL"
359,4,"Total","CL"
360,3,"PBE","SP"
360,2,"MIPBE","SP"
360,5,"Total","SP"
361,2,"PBE","SP"
361,2,"MIPBE","SP"
361,4,"Total","SP"
362,2,"MIPBE","1B"
362,4,"Total","1B"
362,2,"PBE","1B"
363,2,"MIPBE","CL"
363,2,"PBE","CL"
363,4,"Total","CL"
364,2,"PBE","2B"
364,4,"Total","2B"
364,2,"MIPBE","2B"
365,3,"Total","LF"
365,2,"PBE","LF"
365,1,"MIPBE","LF"
366,3,"Total","CF"
366,1,"MIPBE","CF"
366,2,"PBE","CF"
367,3,"Total","SP"
367,2,"PBE","SP"
367,1,"MIPBE","SP"
368,3,"Total","SP"
368,1,"MIPBE","SP"
368,2,"PBE","SP"
369,3,"Total","SP"
369,3,"MIPBE","SP"
370,3,"Total","SP"
370,3,"MIPBE","SP"
371,3,"Total","CL"
371,3,"MIPBE","CL"
372,3,"MIPBE","C"
372,3,"Total","C"
373,3,"MIPBE","LF"
373,3,"Total","LF"
374,2,"Total","CL"
374,2,"MIPBE","CL"
375,2,"PBE","3B"
375,3,"Total","3B"
375,1,"MIPBE","3B"
376,4,"Total","3B"
376,3,"MIPBE","3B"
376,1,"PBE","3B"
377,1,"MIPBE","2B"
377,2,"PBE","2B"
377,3,"Total","2B"
378,1,"Total","LF"
378,1,"MIPBE","LF"
379,3,"Total","LF"
379,1,"MIPBE","LF"
379,2,"PBE","LF"
380,3,"Total","C"
380,3,"PBE","C"
381,1,"Total","2B"
381,1,"MIPBE","2B"
382,1,"MIPBE","1B"
382,1,"Total","1B"
383,1,"Total","3B"
383,1,"MIPBE","3B"
384,3,"Total","LF"
384,3,"MIPBE","LF"
385,2,"MIPBE","C"
385,2,"Total","C"
386,3,"MIPBE","CL"
386,3,"Total","CL"
387,3,"Total","CL"
387,3,"MIPBE","CL"
388,3,"Total","CL"
388,3,"MIPBE","CL"
389,3,"MIPBE","CL"
389,3,"Total","CL"
390,1,"PBE","2B"
390,3,"MIPBE","2B"
390,4,"Total","2B"
391,3,"MIPBE","2B"
391,3,"Total","2B"
392,2,"MIPBE","RF"
392,1,"PBE","RF"
392,3,"Total","RF"
393,2,"Total","CL"
393,2,"MIPBE","CL"
394,1,"MIPBE","SP"
394,1,"PBE","SP"
394,2,"Total","SP"
395,2,"Total","CL"
395,2,"MIPBE","CL"
396,2,"Total","SP"
396,1,"MIPBE","SP"
396,1,"PBE","SP"
397,2,"Total","CL"
397,2,"MIPBE","CL"
398,2,"Total","SP"
398,1,"PBE","SP"
398,1,"MIPBE","SP"
399,2,"Total","SP"
399,1,"MIPBE","SP"
399,1,"PBE","SP"
400,1,"MIPBE","SP"
400,1,"PBE","SP"
400,2,"Total","SP"
401,1,"PBE","SP"
401,3,"Total","SP"
401,2,"MIPBE","SP"
402,1,"PBE","CL"
402,2,"Total","CL"
402,1,"MIPBE","CL"
403,2,"Total","CL"
403,2,"MIPBE","CL"
404,1,"MIPBE","CL"
404,2,"Total","CL"
404,1,"PBE","CL"
405,2,"Total","C"
405,2,"MIPBE","C"
406,1,"MIPBE","C"
406,1,"PBE","C"
406,2,"Total","C"
407,2,"Total","C"
407,2,"MIPBE","C"
408,2,"Total","1B"
408,1,"PBE","1B"
408,1,"MIPBE","1B"
409,1,"PBE","2B"
409,2,"Total","2B"
409,1,"MIPBE","2B"
410,2,"MIPBE","2B"
410,2,"Total","2B"
411,2,"Total","2B"
411,2,"MIPBE","2B"
412,2,"MIPBE","3B"
412,2,"Total","3B"
413,2,"Total","LF"
413,2,"MIPBE","LF"
415,2,"Total","1B"
415,1,"PBE","1B"
415,1,"MIPBE","1B"
416,2,"Total","3B"
416,2,"MIPBE","3B"
417,1,"MIPBE","1B"
417,1,"PBE","1B"
417,2,"Total","1B"
418,1,"PBE","LF"
418,2,"Total","LF"
418,1,"MIPBE","LF"
419,3,"Total","LF"
419,1,"PBE","LF"
419,2,"MIPBE","LF"
420,1,"Total","LF"
420,1,"MIPBE","LF"
421,2,"PBE","CL"
421,2,"Total","CL"
422,2,"Total","2B"
422,2,"MIPBE","2B"
423,2,"MIPBE","CL"
423,2,"Total","CL"
424,1,"PBE","C"
424,2,"Total","C"
424,1,"MIPBE","C"
425,2,"Total","LF"
425,2,"MIPBE","LF"
426,2,"Total","SP"
426,1,"MIPBE","SP"
426,1,"PBE","SP"
427,2,"Total","CF"
427,1,"MIPBE","CF"
427,1,"PBE","CF"
428,2,"Total","1B"
428,1,"PBE","1B"
428,1,"MIPBE","1B"
429,2,"Total","C"
429,2,"MIPBE","C"
430,1,"MIPBE","2B"
430,2,"Total","2B"
430,1,"PBE","2B"
431,1,"Total","1B"
431,1,"PBE","1B"
432,2,"Total","CF"
432,2,"MIPBE","CF"
433,2,"Total","LF"
433,2,"MIPBE","LF"
434,1,"Total","SP"
434,1,"MIPBE","SP"
435,2,"Total","C"
435,1,"PBE","C"
435,1,"MIPBE","C"
436,3,"Total","1B"
436,2,"MIPBE","1B"
436,1,"PBE","1B"
437,2,"Total","2B"
437,2,"MIPBE","2B"
438,2,"MIPBE","CL"
438,2,"Total","CL"
439,2,"Total","2B"
439,2,"MIPBE","2B"
440,2,"MIPBE","LF"
440,2,"Total","LF"
441,2,"MIPBE","SP"
441,2,"Total","SP"
442,2,"MIPBE","SP"
442,2,"Total","SP"
443,1,"MIPBE","1B"
443,1,"Total","1B"
444,1,"Total","1B"
444,1,"MIPBE","1B"
445,2,"Total","CL"
445,2,"MIPBE","CL"
446,2,"MIPBE","CL"
446,2,"Total","CL"
447,1,"MIPBE","2B"
447,1,"Total","2B"
448,1,"Total","2B"
448,1,"MIPBE","2B"
449,1,"MIPBE","2B"
449,1,"Total","2B"
450,1,"MIPBE","1B"
450,1,"Total","1B"
451,1,"Total","1B"
451,1,"MIPBE","1B"
452,1,"Total","CL"
452,1,"MIPBE","CL"
453,1,"MIPBE","CL"
453,1,"Total","CL"
454,1,"MIPBE","CL"
454,1,"Total","CL"
455,1,"Total","CL"
455,1,"MIPBE","CL"
456,1,"Total","CL"
456,1,"MIPBE","CL"
457,1,"MIPBE","CL"
457,1,"Total","CL"
458,1,"MIPBE","CL"
458,1,"Total","CL"
461,1,"Total","CF"
461,1,"MIPBE","CF"
463,1,"Total","CL"
463,1,"MIPBE","CL"
464,1,"Total","CL"
464,1,"MIPBE","CL"
465,1,"MIPBE","SP"
465,1,"Total","SP"
466,1,"PBE","CL"
466,1,"Total","CL"
467,1,"MIPBE","CL"
467,1,"Total","CL"
468,1,"Total","C"
468,1,"MIPBE","C"
470,1,"Total","1B"
470,1,"MIPBE","1B"
472,1,"MIPBE","2B"
472,1,"Total","2B"
473,1,"MIPBE","LF"
473,1,"Total","LF"
474,1,"Total","1B"
474,1,"MIPBE","1B"
475,1,"Total","LF"
475,1,"MIPBE","LF"
476,1,"MIPBE","LF"
476,1,"Total","LF"
477,1,"MIPBE","LF"
477,1,"Total","LF"
478,1,"Total","2B"
478,1,"MIPBE","2B"
479,1,"PBE","CL"
479,1,"Total","CL"
480,1,"MIPBE","SP"
480,1,"Total","SP"
481,1,"MIPBE","SP"
481,1,"Total","SP"
482,1,"MIPBE","3B"
482,1,"Total","3B"
483,1,"Total","C"
483,1,"MIPBE","C"
484,1,"MIPBE","1B"
484,1,"Total","1B"
485,1,"MIPBE","CL"
